Anthology Publication Year,Anthology Type,Anthology Title,Collection Type,Source Title,Source Genre,Original Publication Year,Publication Decade,Author,Author Birth Year,Author Birth Decade,Author Gender,Anthology Section Header,Anthology Edition,Anthology Editors
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,The Blue of Madness,Short Story,,0s,Arnold Kemp,,0s,Male,,,Orde Coombs
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,Waiting for Her Train,Short Story,,0s,Audery M. Lee,,0s,Female,,,Orde Coombs
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,The Three Little Brothers,Short Story,,0s,Bernice Pearson ,,0s,Female,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,The Wages of Good ,Short Story,,0s,Birago Diop ,,0s,Male,,1st Ed,Toni Cade Bambara
1971,Comprehensive African American Collection ,"Black American Literature, 1760-Present",Chronological,The Boquet,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,"Early Poetry, Fiction, and Criticism",1st Ed,Houston Baker
1971,Comprehensive African American Collection,Cavalcade: Negro American Writing from 1760 to the Present,Chronological,The Goophered Grapevine,Short Story,1899,1890s,Charles W. Chesnutt,1899,1890s,Male,Accommodation and Protest: 1865 - 1910,1st Ed,Arthur P Davis; Saunders Redding
1971,Special Topics - Black Literature Collection,A Gift of the Spirit (Karel Rose),Theme,The Sheriff's Children,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,Social Factors of Influence,1st Ed,Karel Rose
1971,Comprehensive African American Collection,Cavalcade: Negro American Writing from 1760 to the Present,Chronological,The Wife of His Youth,Short Story,1899,1890s,Charles W. Chesnutt,1899,1890s,Male,Accommodation and Protest: 1865 - 1910,1st Ed,Arthur P Davis; Saunders Redding
1971,Comprehensive African American Collection ,"Black American Literature, 1760-Present",Chronological,The Wife of His Youth,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,Part Three 1864 - 1914,1st Ed,Houston Baker
1971,Special Topics - Black Literature Collection,A Gift of the Spirit (Karel Rose),Theme,The Wife of His Youth,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,Social Factors of Influence,1st Ed,Karel Rose
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,Jack and The Beanstalk ,Short Story,,,E. Spencer ,,,Female,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,Sursum Corda (Lift Up Your Hearts),Short Story,,0s,Edgar Nkosi White ,1947,1940s,Male,,,Orde Coombs
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,The Seed of a Slum's Eternity,Short Story,,0s,Eric Priestley,,0s,Male,,,Orde Coombs
1971,Comprehensive African American Collection,Cavalcade: Negro American Writing from 1760 to the Present,Chronological,Just Like a Tree,Short Story,1963,1960s,Ernest Gaines,1933,1930s,Male,Integration Versus Black Nationalism: 1954 to the Present,1st Ed,Arthur P Davis; Saunders Redding
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,The Sky is Gray,Short Story,1963,1960s,Ernest Gaines,1933,1930s,Male,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,Harlem Transfer,Short Story,,0s,Evan K. Walker,,0s,Male,,,Orde Coombs
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,Billy Goat's Turf ,Short Story,,0s,Geneva Powell,,0s,Female,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,The Parable of the Eagle,Short Story,,0s,James Aggrey,,0s,Male,,1st Ed,Toni Cade Bambara
1971,Comprehensive African American Collection ,"Black American Literature, 1760-Present",Chronological,Son in the Afternoon,Short Story,1962,1960s,John A. Williams,1925,1920s,Male,The Fifties and Sixties,1st Ed,Houston Baker
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,Rites Fraternal ,Short Story,,0s,John Barber,,0s,Male,,,Orde Coombs
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,Straighten Up and Fly Right ,Short Story,,0s,John Blackamore,,0s,Male,,1st Ed,Toni Cade Bambara
1971,Special Topics - Black Literature Collection,A Gift of the Spirit (Karel Rose),Theme,The Boy Who Painted Christ Black,Short Story,1940,1940s,John Henrik Clarke,1915,1910s,Male,School Experiences and Educational Attainment,1st Ed,Karel Rose
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,The Pilgrims,Short Story,,0s,John McCluskey,,0s,Male,,,Orde Coombs
1971,Comprehensive African American Collection ,"Black American Literature, 1760-Present",Chronological,God Bless America,Short Story,,0s,John O. Killens,1916,1910s,Male,The Fifties and Sixties,1st Ed,Houston Baker
1971,Special Topics - Black Literature Collection,A Gift of the Spirit (Karel Rose),Theme,from Simple's Uncle Sam,Short Story,1961,1960s,Langston Hughes,1902,1900s,Male,Social Factors of Influence,1st Ed,Karel Rose
1971,Special Topics - Black Literature Collection,A Gift of the Spirit (Karel Rose),Theme,from Tales of Simple,Short Story,1965,1960s,Langston Hughes,1902,1900s,Male,Social Factors of Influence,1st Ed,Karel Rose
1971,Special Topics - Black Literature Collection,A Gift of the Spirit (Karel Rose),Theme,One Friday Morning,Short Story,1941,1940s,Langston Hughes,1902,1900s,Male,School Experiences and Educational Attainment,1st Ed,Karel Rose
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,"Thank You, M'am",Short Story,1958,1950s,Langston Hughes,1902,1900s,Male,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,The True Story of Chicken Licken,Short Story,,0s,Linda Holmes,,0s,Female,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,Miss Nora,Short Story,,0s,Lindsay Patterson,1934,1930s,Male,,,Orde Coombs
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,Etta's Mind,Short Story,,0s,Liz Gant,,0s,Female,,,Orde Coombs
1971,Comprehensive African American Collection,Cavalcade: Negro American Writing from 1760 to the Present,Chronological,Brooklyn,Short Story,1961,1960s,Paule Marshall,1929,1920s,Female,Integration Versus Black Nationalism: 1954 to the Present,1st Ed,Arthur P Davis; Saunders Redding
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,The Day the World Almost Came to an End,Short Story,1932,1930s,Pearl Crayton,,0s,Female,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,"Cheesy, Baby!",Short Story,,0s,R. Ernest Holmes,,0s,Male,,,Orde Coombs
1971,Comprehensive African American Collection ,"Black American Literature, 1760-Present",Chronological,New World Writing - A Coupla Scalped Indians,Short Story,,0s,Ralph Ellison,1914,1910s,Male,The Fifties and Sixties,1st Ed,Houston Baker
1971,Comprehensive African American Collection ,"Black American Literature, 1760-Present",Chronological,Bright and Morning Star,Short Story,1938,1930s,Richard Wright,1908,1900s,Male,The Thirties and Forties,1st Ed,Houston Baker
1971,Comprehensive African American Collection ,"Black American Literature, 1760-Present",Chronological,Down by the Riverside,Short Story,1938,1930s,Richard Wright,1908,1900s,Male,Part Five 1940 - 1963,1st Ed,Houston Baker
1971,Special Topics - Black Literature Collection,A Gift of the Spirit (Karel Rose),Theme,The Man Who Lived Underground,Short Story,1961,1960s,Richard Wright,1908,1900s,Male,Psychological Responses,1st Ed,Karel Rose
1971,Comprehensive African American Collection,Cavalcade: Negro American Writing from 1760 to the Present,Chronological,The Man Who Was Almost a Man,Short Story,1961,1960s,Richard Wright,1908,1900s,Male,The New Negro Renaissance and Beyond: 1910 - 1954,1st Ed,Arthur P Davis; Saunders Redding
1971,Comprehensive African American Collection,Cavalcade: Negro American Writing from 1760 to the Present,Chronological,High Yaller,Short Story,1925,1920s,Rudolph Fisher,1897,1890s,Male,The New Negro Renaissance and Beyond: 1910 - 1954,1st Ed,Arthur P Davis; Saunders Redding
1971,Comprehensive African American Collection ,"Black American Literature, 1760-Present",Chronological,The City of Refuge,Short Story,1925,1920s,Rudolph Fisher,1897,1890s,Male,The Renaissance of the Twenties,1st Ed,Houston Baker
1971,Special Topics - Black Literature Collection,A Gift of the Spirit (Karel Rose),Theme,The Revolt of the Evil Fairies,Short Story,,0s,Ted Poston,1906,1900s,Male,School Experiences and Educational Attainment,1st Ed,Karel Rose
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,A Word about Justice,Short Story,,0s,Thomas Muller-Thym,,0s,Male,,,Orde Coombs
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,Raymond's Run,Short Story,1972,1970s,Toni Cade Bambara,1939,1930s,Female,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,The Toad and the Donkey,Short Story,1977,1970s,Toni Cade Bambara,1939,1930s,Female,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,Second Line/Cutting the Body Loose,Short Story,,0s,Val Ferdinand,,0s,Female,,,Orde Coombs
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,Let Me Hang Loose ,Short Story,,0s,Vanessa Howard,,0s,Female,,1st Ed,Toni Cade Bambara
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,Kiss the Girls for Me,Short Story,,0s,Wallace White,,0s,Male,,,Orde Coombs
1971,Short Story Black Collection,What We Must See: Young Black Storytellers ,Alphabetical,The Fare to Crown Point,Short Story,1971,1970s,Walter Myers,1937,1930s,Male,,,Orde Coombs
1971,Short Story Black Collection,Tales and Stories for Black Folks,None,Little Black Riding Hood,Short Story,,0s,Wayne Figueroa,,0s,Male,,1st Ed,Toni Cade Bambara
1971,Comprehensive African American Collection ,"Black American Literature, 1760-Present",Chronological,Cry for Me,Short Story,1964,1960s,William Melvin Kelley,1937,1930s,Male,The Fifties and Sixties,1st Ed,Houston Baker
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,Chicken Hawk's Dream,Short Story,,0s,Al Young,,0s,Male,Fiction,1st Ed,Abraham Chapman
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,The Life and Loves of Mr. Jiveass Nigger (Prologue),Short Story,,0s,Cecil Brown,1943,1940s,Male,Fiction,1st Ed,Abraham Chapman
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,The Goophered Grapevine,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,The Black Man in the Civil War: 1861-1865,1st Ed,Richard Barksdale; Kenneth Kinnamon
1972,Comprehensive African American Collection ,"African American literature : an anthology of nonfiction, fiction, poetry, and drama - Vol. 1",Chronological,The Goophered Grapevine,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,Part II: The Civil War to World War I ,1st Ed,Demetrice A Worley; Jesse Perry;
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,The Passing of Grandison,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,The Black Man in the Civil War: 1861-1865,1st Ed,Richard Barksdale; Kenneth Kinnamon
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,The Wife of His Youth,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,The Black Man in the Civil War: 1861-1865,1st Ed,Richard Barksdale; Kenneth Kinnamon
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,Mary's Convert,Short Story,,0s,Cyrus Colter,,0s,Male,Fiction,1st Ed,Abraham Chapman
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,The Sky is Gray,Short Story,1963,1960s,Ernest Gaines,1933,1930s,Male,The Present Generation: Since 1945,1st Ed,Richard Barksdale; Kenneth Kinnamon
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,Three Men,Short Story,1963,1960s,Ernest Gaines,1933,1930s,Male,Fiction,1st Ed,Abraham Chapman
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,A Time to Mourn,Short Story,,0s,Etheridge Knight,,0s,Male,Fiction,1st Ed,Abraham Chapman
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,A Solo Song: For Doc,Short Story,1969,1960s,James Alan McPherson,1943,1940s,Male,Fiction,1st Ed,Abraham Chapman
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,Sonny's Blues,Short Story,1957,1950s,James Baldwin,1924,1920s,Male,The Present Generation: Since 1945,1st Ed,Richard Barksdale; Kenneth Kinnamon
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,A House divided,Short Story,,0s,Jeanne A. Taylor,,0s,Female,Fiction,1st Ed,Abraham Chapman
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,Rehabilitation and Treatment,Short Story,,0s,Joe Martinez,,0s,Male,Fiction,1st Ed,Abraham Chapman
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,Bright and Morning Star,Short Story,,0s,Mike Thelwell,,0s,Male,Fiction,1st Ed,Abraham Chapman
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,Barbados,Short Story,1929,1920s,Paule Marshall,1929,1920s,Male,The Present Generation: Since 1945,1st Ed,Richard Barksdale; Kenneth Kinnamon
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,And Hickman Arrives,Short Story,,0s,Ralph Ellison,1914,1910s,Male,The Present Generation: Since 1945,1st Ed,Richard Barksdale; Kenneth Kinnamon
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,Big Boy Leaves Home,Short Story,1938,1930s,Richard Wright,1908,1900s,Male,Renaissance and Radicalism: 1915-1945,1st Ed,Richard Barksdale; Kenneth Kinnamon
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,The Numbers Writer,Short Story,,0s,Robert Deane Pharr,,0s,Male,Fiction,1st Ed,Abraham Chapman
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,We Who Came After,Short Story,,0s,Ronald L. Fair,,0s,Male,Fiction,1st Ed,Abraham Chapman
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,The City of Refuge,Short Story,1925,1920s,Rudolph Fisher,1897,1890s,Male,Renaissance and Radicalism: 1915-1945,1st Ed,Richard Barksdale; Kenneth Kinnamon
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,The Long Sell,Short Story,,0s,Victor Steven Walker,,0s,Male,Fiction,1st Ed,Abraham Chapman
1972,Comprehensive African American Collection ,"African American literature : an anthology of nonfiction, fiction, poetry, and drama - Vol. 1",Chronological,The Comet,Short Story,1920,1920s,W.E.B. DuBois,1868,1860s,Male,Part II: The Civil War to World War I ,1st Ed,Demetrice A Worley; Jesse Perry;
1972,Special Topics - Black Literature Collection,New Black Voices: an Anthology of Contemporary Afro-American Literature,Chronological,A Good Long Sidewalk,Short Story,,0s,William Melvin Kelley,1937,1930s,Male,Fiction,1st Ed,Abraham Chapman
1972,Comprehensive African American Collection,Black Writers of America: A Comprehensive Anthology,Chronological,The Dentist's Wife,Short Story,1975,1970s,William Melvin Kelley,1937,1930s,Male,The Present Generation: Since 1945,1st Ed,Richard Barksdale; Kenneth Kinnamon
1973,Comprehensive American Collection ,"American Literature: The Makers and the Making, Vol. 2",Chronological,The Wife of His Youth,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,Black Literature: From Reconstruction to the Harlem Renaissance ,1st Ed,Cleanth Brooks; Richard Warrington Baldwin Lewis; Robert Penn Warren;
1973,Comprehensive American Collection ,"American Literature: The Makers and the Making, Vol. 2",Chronological,Battle Royal (From Invisible Man),Short Story,1947,1940s,Ralph Ellison,1914,1910s,Male,Experiments and Continuities: Some Instances in Our Time (1945 to the Present),1st Ed,Cleanth Brooks; Richard Warrington Baldwin Lewis; Robert Penn Warren;
1973,Comprehensive American Collection ,"American Literature: The Makers and the Making, Vol. 2",Chronological,The Man Who Was Almost a Man,Short Story,1961,1960s,Richard Wright,1908,1900s,Male,Harlem Renaissance,1st Ed,Cleanth Brooks; Richard Warrington Baldwin Lewis; Robert Penn Warren;
1974,Special Topics - Black Women Writers Collection,Keeping the Faith: Writings by Contemporary Black American Women ,Genre,The Welcome Table,Short Story,1973,1970s,Alice Walker,1944,1940s,Female,Autobiography,1st Ed,Pat Crutchfield Exum
1974,Special Topics - Black Women Writers Collection,Keeping the Faith: Writings by Contemporary Black American Women ,Genre,The Gypsies,Short Story,,0s,Barbara Banks,,0s,Female,Autobiography,1st Ed,Pat Crutchfield Exum
1974,Special Topics - Black Women Writers Collection,Keeping the Faith: Writings by Contemporary Black American Women ,Genre,Tell Martha Not to Moan,Short Story,,0s,Sherley Anne Williams,1944,1940s,Female,Autobiography,1st Ed,Pat Crutchfield Exum
1974,Special Topics - Black Women Writers Collection,Keeping the Faith: Writings by Contemporary Black American Women ,Genre,Mama Hazel Takes Her Bed,Short Story,1972,1970s,Toni Cade Bambara,1939,1930s,Female,Autobiography,1st Ed,Pat Crutchfield Exum
1976,Special Topics - Harlem Renaissance Collection ,Voices from the Harlem Renaissance,Theme,Long Black Song,Short Story,1938,1930s,Richard Wright,1908,1900s,Male,Reflections on the Renaissance and Art for a New Day,1st Ed,Nathan Irvin Huggins
1976,Special Topics - Harlem Renaissance Collection ,Voices from the Harlem Renaissance,Theme,Blades of Steel,Short Story,1927,1920s,Rudolph Fisher,1897,1890s,Male,Harlem Renaissance: The Urban Setting,1st Ed,Nathan Irvin Huggins
1976,Special Topics - Harlem Renaissance Collection ,Voices from the Harlem Renaissance,Theme,Sweat,Short Story,1926,1920s,Zora Neale Hurston,1891,1890s,Female,Afro-American Identity- Who Am I?,1st Ed,Nathan Irvin Huggins
1979,Comprehensive American Collection ,"The Norton Anthology of American Literature, Vol. 2",Chronological,The Goophered Grapevine,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,American Literature 1865 - 1914,,Ronald Gottesman
1979,Comprehensive American Collection ,"The Norton Anthology of American Literature, Vol. 2",Chronological,Battle Royal (From Invisible Man),Short Story,1947,1940s,Ralph Ellison,1914,1910s,Male,Contemporary American Prose 1945 ,,Ronald Gottesman
1979,Comprehensive American Collection ,"The Norton Anthology of American Literature, Vol. 2",Chronological,Invisible Man - Prologue ,Short Story,,0s,Ralph Ellison,1914,1910s,Male,Contemporary American Prose 1945 ,,Ronald Gottesman
1979,Comprehensive American Collection ,"The Norton Anthology of American Literature, Vol. 2",Chronological,Long Black Song,Short Story,1938,1930s,Richard Wright,1908,1900s,Male,American Literature between the Wars 1914 - 1945,,Ronald Gottesman
1979,Special Topics - Women Writers Collection,Women Working: An Anthology of Stories and Poems,Theme,Raymond's Run,Short Story,1972,1970s,Toni Cade Bambara,1939,1930s,Female,TWO: Satisying Work- Sturdiness and Singing,1st Ed,Elaine Hedges; Nancy Hoffman; Florence Howe
1980,Comprehensive American Collection ,The Norton Anthology of American Literature ,Chronological,Battle Royal (From Invisible Man),Short Story,1947,1940s,Ralph Ellison,1914,1910s,Male,American Literature between the Wars 1914 - 1945,,Ronald Gottesman
1980,Comprehensive American Collection ,The Norton Anthology of American Literature ,Chronological,The Man Who Was Almost a Man,Short Story,1961,1960s,Richard Wright,1908,1900s,Male,American Literature between the Wars 1914 - 1945,,Ronald Gottesman
1985,Special Topics - Women Writers Collection,The Norton Anthology of Literature by Women (1985),Chronological,I Sit and Sew,Short Story,,0s,Alice Dunbar Nelson,1875,1870s,Female,Literature of the Nineteenth Century  ,1st Ed,Susan Gubar; Sandra M Gilbert;
1985,Special Topics - Women Writers Collection,The Norton Anthology of Literature by Women (1985),Chronological,Everyday Use,Short Story,1973,1970s,Alice Walker,1944,1940s,Female,Contemporary Literature ,1st Ed,Susan Gubar; Sandra M Gilbert;
1985,Comprehensive American Collection ,"The American Tradition in Literature, Shorter (1985)",Chronological,Sonny's Blues,Short Story,1957,1950s,James Baldwin,1924,1920s,Male,Mid-Century Prose,6th Ed,"George Perkins, Sculley Bradley, Richmond Croom Beatty, and E. Hudson Long"
1985,Comprehensive American Collection ,"The American Tradition in Literature, Shorter (1985)",Chronological,Battle Royal (From Invisible Man),Short Story,1947,1940s,Ralph Ellison,1914,1910s,Male,Mid-Century Prose,6th Ed,"George Perkins, Sculley Bradley, Richmond Croom Beatty, and E. Hudson Long"
1985,Comprehensive American Collection ,"The American Tradition in Literature, Shorter (1985)",Chronological,Big Black Good Man,Short Story,1958,1950s,Richard Wright,1908,1900s,Male,New Directions: Later Voices,6th Ed,"George Perkins, Sculley Bradley, Richmond Croom Beatty, and E. Hudson Long"
1985,Special Topics - Women Writers Collection,The Norton Anthology of Literature by Women (1985),Chronological,My Man Bovanne,Short Story,1972,1970s,Toni Cade Bambara,1939,1930s,Female,Contemporary Literature ,1st Ed,Susan Gubar; Sandra M Gilbert;
1985,Special Topics - Women Writers Collection,The Norton Anthology of Literature by Women (1985),Chronological,Sweat,Short Story,1926,1920s,Zora Neale Hurston,1891,1890s,Female,Modernist Literature ,1st Ed,Susan Gubar; Sandra M Gilbert;
1987,Comprehensive American Collection ,"Harper American Literature, Vol. 2 (1987)",Chronological,The Sheriff's Children,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,,1st Ed,Donald McQuade
1987,Comprehensive American Collection ,"Harper American Literature, Vol. 2 (1987)",Chronological,Sonny's Blues,Short Story,1957,1950s,James Baldwin,1924,1920s,Male,The Literature of Postwar America: Prose/1940 - 1973,1st Ed,Donald McQuade
1987,Comprehensive American Collection ,"Harper American Literature, Vol. 2 (1987)",Chronological,Battle Royal (From Invisible Man),Short Story,1947,1940s,Ralph Ellison,1914,1910s,Male,The Literature of Postwar America: Prose/1940 - 1973,1st Ed,Donald McQuade
1987,Comprehensive American Collection ,"Harper American Literature, Vol. 2 (1987)",Chronological,Invisible Man - Epilogue ,Short Story,,0s,Ralph Ellison,1914,1910s,Male,The Literature of Postwar America: Prose/1940 - 1973,1st Ed,Donald McQuade
1987,Comprehensive American Collection ,"Harper American Literature, Vol. 2 (1987)",Chronological,Invisible Man - Prologue ,Short Story,,0s,Ralph Ellison,1914,1910s,Male,The Literature of Postwar America: Prose/1940 - 1973,1st Ed,Donald McQuade
1987,Comprehensive American Collection ,"Harper American Literature, Vol. 2 (1987)",Chronological,The Gilded Six-Bit,Short Story,1933,1930s,Zora Neale Hurston,1891,1890s,Female,The Literature of Modernism: Prose/ 1912 - 1940 ,1st Ed,Donald McQuade
1989,Comprehensive American Collection ,The Norton Anthology of American LiteratureÂ (1989),Chronological,Everyday Use,Short Story,1973,1970s,Alice Walker,1944,1940s,Female,American Prose Since 1946,,Nina Baym
1989,Comprehensive American Collection ,"Anthology of American Literature, Realism to Present, Vol. 2 (4th Edition)",Chronological,Her Sweet Jerome,Short Story,1984,1980s,Alice Walker,1944,1940s,Female,Twentieth Century Literature,4th Ed,George L McMichael; Frederick C Crews;
1989,Comprehensive American Collection ,"Anthology of American Literature, Realism to Present, Vol. 2 (4th Edition)",Chronological,The Goophered Grapevine,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,The Age of Realism,4th Ed,George L McMichael; Frederick C Crews;
1989,Comprehensive American Collection ,The Norton Anthology of American LiteratureÂ (1989),Chronological,The Goophered Grapevine,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,American literature 1865-1914,,Nina Baym
1989,Comprehensive American Collection ,"Anthology of American Literature, Realism to Present, Vol. 2 (4th Edition)",Chronological,Sonny's Blues,Short Story,1957,1950s,James Baldwin,1924,1920s,Male,Twentieth Century Literature,4th Ed,George L McMichael; Frederick C Crews;
1989,Comprehensive American Collection ,"Anthology of American Literature, Realism to Present, Vol. 2 (4th Edition)",Chronological,Battle Royal (From Invisible Man),Short Story,1947,1940s,Ralph Ellison,1914,1910s,Male,Twentieth Century Literature,4th Ed,George L McMichael; Frederick C Crews;
1989,Comprehensive American Collection ,The Norton Anthology of American LiteratureÂ (1989),Chronological,Battle Royal (From Invisible Man),Short Story,1944,1940s,Ralph Ellison,1914,1910s,Male,American Prose Since 1945,,Nina Baym
1989,Comprehensive American Collection ,"Anthology of American Literature, Realism to Present, Vol. 2 (4th Edition)",Chronological,The Man Who Was Almost a Man,Short Story,1961,1960s,Richard Wright,1908,1900s,Male,Twentieth Century Literature,4th Ed,George L McMichael; Frederick C Crews;
1989,Comprehensive American Collection ,The Norton Anthology of American LiteratureÂ (1989),Chronological,The Man Who Was Almost a Man,Short Story,1961,1960s,Richard Wright,1908,1900s,Male,American Literature between the wars 1914-1945,,Nina Baym
1989,Comprehensive American Collection ,"Anthology of American Literature, Realism to Present, Vol. 2 (4th Edition)",Chronological,The Gilded Six-Bit,Short Story,1933,1930s,Zora Neale Hurston,1891,1890s,Female,Twentieth Century Literature,4th Ed,George L McMichael; Frederick C Crews;
1990,Short Story Black Collection,Breaking Ice: An Anthology of Contemporary African American Fiction,Alphabetical,Seduction by Light,Short Story,,0s,Al Young,1939,1930s,Male,,1st Ed,Terry McMillan; John Edgar Wideman
1990,Special Topics - Black Women Writers Collection,Black-Eyed Susans and Midnight Birds: Stories by and about Black Women,None,Remember Him a Outlaw,Short Story,1972,1970s,Alexis DeVeaux,1948,1940s,Female,,2nd Ed,Mary Helen Washington
1990,Special Topics - Black Women Writers Collection,Black-Eyed Susans and Midnight Birds: Stories by and about Black Women,None,The Riddles of Egypt Brownstone,Short Story,1978,1970s,Alexis DeVeaux,1948,1940s,Female,,2nd Ed,Mary Helen Washington
1990,Comprehensive American Collection ,"The Heath Anthology of American Literature, Vol. 2 (1990)",Chronological,Sister Josepha,Short Story,1899,1890s,Alice Dunbar Nelson,1875,1870s,Female,"Regional Voices, National Voices",2nd Ed,Paul Lauter
1990,Special Topics - Black Women Writers Collection,Black-Eyed Susans and Midnight Birds: Stories by and about Black Women,None,A Sudden Trip Home in the Spring,Short Story,1981,1980s,Alice Walker,1944,1940s,Female,,2nd Ed,Mary Helen Washington
1990,Special Topics - Black Women Writers Collection,Black-Eyed Susans and Midnight Birds: Stories by and about Black Women,None,Advancing Luna and Ida B. Wells,Short Story,1982,1980s,Alice Walker,1944,1940s,Female,,2nd Ed,Mary Helen Washington
1990,Special Topics - Black Women Writers Collection,Black-Eyed Susans and Midnight Birds: Stories by and about Black Women,None,Everyday Use,Short Story,1973,1970s,Alice Walker,1944,1940s,Female,,2nd Ed,Mary Helen Washington
1990,Comprehensive American Collection ,"The Heath Anthology of American Literature, Vol. 2 (1990)",Chronological,Nineteen Fifty-Five,Short Story,1981,1980s,Alice Walker,1944,1940s,Female,Contemporary Period: 1945 to the Present ,2nd Ed,Paul Lauter
1990,Short Story Black Collection,Breaking Ice: An Anthology of Contemporary African American Fiction,Alphabetical,The Abortion,Short Story,1973,1970s,Alice Walker,1944,1940s,Female,,1st Ed,Terry McMillan; John Edgar Wideman
1990,Short Story Black Collection,Breaking Ice: An Anthology of Contemporary African American Fiction,Alphabetical,Mondongo,Short Story,1983,1980s,Amiri Baraka,1934,1930s,Male,,1st Ed,Terry McMillan; John Edgar Wideman
1990,Short Story Black Collection,Breaking Ice: An Anthology of Contemporary African American Fiction,Alphabetical,Spilled Salt,Short Story,,0s,Barbara Neely,,0s,Female,,1st Ed,Terry McMillan; John Edgar Wideman
